	FRA00101_Adam.xml	FRA00102_Adam.xml	FRA00201_Audoux.xml	FRA00301_Aimard.xml	FRA00302_Aimard.xml	FRA00401_Allais.xml	FRA00501_Balzac.xml	FRA00502_Balzac.xml	FRA00503_Balzac.xml	FRA00601_Boisgobey.xml	FRA00602_Boisgobey.xml	FRA00701_Carraud.xml	FRA00801_Dash.xml	FRA00901_Daudet.xml	FRA01002_DelarueMardrus.xml	FRA01101_Dombre.xml	FRA01102_Dombre.xml	FRA01201_Feval.xml	FRA01202_Feval.xml	FRA01203_Feval.xml	FRA01301_Flaubert.xml	FRA01302_Flaubert.xml	FRA01303_Flaubert.xml	FRA01401_Fleuriot.xml	FRA01402_Fleuriot.xml	FRA01403_Fleuriot.xml	FRA01501_France.xml	FRA01601_GautierJ.xml	FRA01602_GautierJ.xml	FRA01603_GautierJ.xml	FRA01701_GautierT.xml	FRA01801_Gay.xml	FRA01902_Gaboriau.xml	FRA02001_Gilbert.xml	FRA02101_Girardin.xml	FRA02201_Gouraud.xml	FRA02202_Gouraud.xml	FRA02203_Gouraud.xml	FRA02301_Greville.xml	FRA02302_Greville.xml	FRA02303_Greville.xml	FRA02401_LeRouge.xml	FRA02501_Loti.xml	FRA02601_Malot.xml	FRA02602_Malot.xml	FRA02603_Malot.xml	FRA02701_Maupassant.xml	FRA02702_Maupassant.xml	FRA02802_Mirbeau.xml	FRA02901_Noailles.xml	FRA03001_Ohnet.xml	FRA03002_Ohnet.xml	FRA03003_Ohnet.xml	FRA03101_Ponson.xml	FRA03201_Blandy.xml	FRA03302_Rattazzi.xml	FRA03401_Reybaud.xml	FRA03601_Proust.xml	FRA03701_Sand.xml	FRA03702_Sand.xml	FRA03704_Sand.xml	FRA03802_Stern.xml	FRA03903_Stolz.xml	FRA04001_Verne.xml	FRA04002_Verne.xml	FRA04102_Erckmann.xml	FRA04202_Rolland.xml	FRA04301_Achard.xml	FRA04401_Barbusse.xml	FRA04501_Barres.xml	FRA04601_Bazin.xml	FRA04701_Bourget.xml	FRA04801_Corday.xml	FRA04901_Dumas.xml	FRA05101_Eekhoud.xml	FRA05201_Feuillet.xml	FRA05301_Galopin.xml	FRA05401_Kock.xml	FRA05501_Lermina.xml	FRA05602_Lesueur.xml	FRA05702_Maquet.xml	FRA05801_Mille.xml	FRA05901_Moselly.xml	FRA06001_Rebell.xml	FRA06101_Sandeau.xml	FRA06201_Viel-Castel.xml	FRA06301_Montepin.xml	FRA06401_Chandeneux.xml	FRA06501_Gyp.xml	FRA06601_Peladan.xml	FRA06701_Uchard.xml	FRA06801_Vaillant.xml	FRA06901_Vignon.xml	FRA07001_Mendes.xml	FRA07101_Blondel.xml	FRA07201_Montagne.xml	FRA07301_Valgand.xml	FRA07401_Leblanc.xml	FRA07501_Darien.xml	FRA07601_Leroux.xml	TOTAL
foreign	 	1	 	105	14	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	1	 	 	 	 	 	2	 	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	7	 	 	 	2	3	 	 	 	 	 	 	 	2	 	 	 	 	 	32	2	 	27	 	 	 	3	 	1	 	 	 	 	 	 	 	 	 	 	214
gap	 	 	 	 	 	8	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	1	 	1	1	 	 	35	 	 	 	 	 	 	 	95	 	 	 	 	 	 	 	 	 	 	 	208
emph	 	 	1	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	90	 	 	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	 	 	 	 	 	8	 	 	 	 	 	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	131
pubPlace	2	2	2	1	1	3	2	2	2	 	 	2	2	2	1	 	 	 	1	2	2	2	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	 	1	2	1	1	 	1	 	2	2	1	 	2	2	2	1	2	2	2	1	2	1	1	1	1	 	1	1	1	1	 	 	1	1	1	1	1	1	 	1	1	 	1	1	1	1	1	2	2	2	2	2	2	2	2	2	 	1	1	131
term	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	6	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	116
measure	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	113
extent	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
keywords	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
language	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
fileDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
body	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
langUsage	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
text	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
licence	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
teiHeader	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
size	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
publicationStmt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
reprintCount	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
timeSlot	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
availability	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
authorGender	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
textClass	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
profileDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
encodingDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
revisionDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
distributor	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100
